   1.0000e+00   1.7486e-15   2.2204e-16   2.2204e-16
   1.8000e+01   9.2314e-04   9.2281e-04   4.9263e-15
   3.5000e+01   1.8472e-03   1.8456e-03   1.0930e-13
   5.2000e+01   2.7720e-03   2.7684e-03   2.4248e-12
   6.9000e+01   3.6975e-03   3.6912e-03   5.3798e-11
   8.6000e+01   4.6244e-03   4.6140e-03   1.1936e-09
   1.0300e+02   5.5518e-03   5.5369e-03   2.6481e-08
   1.2000e+02   6.4796e-03   6.4602e-03   5.8750e-07
   1.3700e+02   7.4112e-03   7.3955e-03   1.3034e-05
   1.5400e+02   8.4393e-03   8.5945e-03   2.8918e-04
   1.7100e+02   1.1704e-02   1.5644e-02   6.4158e-03
   1.8800e+02   7.4718e-02   1.5249e-01   1.4234e-01
   2.0500e+02   1.4113e+00   3.1691e+00   3.1580e+00
   2.2200e+02   3.0512e+01   7.0076e+01   7.0064e+01
