   1.0000e+00   1.8874e-15   2.2204e-16   2.2204e-16
   3.8000e+01   9.5859e-06   9.5859e-06   7.5504e-15
   7.5000e+01   1.9172e-05   1.9172e-05   2.5674e-13
   1.1200e+02   2.8758e-05   2.8758e-05   8.7303e-12
   1.4900e+02   3.8344e-05   3.8344e-05   2.9686e-10
   1.8600e+02   4.7932e-05   4.7939e-05   1.0095e-08
   2.2300e+02   5.7561e-05   5.7858e-05   3.4325e-07
   2.6000e+02   7.0288e-05   7.8773e-05   1.1672e-05
   2.9700e+02   2.6975e-04   4.7358e-04   3.9689e-04
   3.3400e+02   7.1253e-03   1.3582e-02   1.3496e-02
   3.7100e+02   2.2394e-01   4.5901e-01   4.5892e-01
   4.0800e+02   7.1821e+00   1.5605e+01   1.5605e+01
