   1.0000e+00   1.8874e-15   2.2204e-16   2.2204e-16
   2.0100e+02   9.9683e-06   9.9683e-06   1.1654e-14
   4.0100e+02   1.9937e-05   1.9937e-05   6.1166e-13
   6.0100e+02   2.9905e-05   2.9905e-05   3.2103e-11
   8.0100e+02   3.9874e-05   3.9875e-05   1.6849e-09
   1.0010e+03   4.9872e-05   4.9930e-05   8.8433e-08
   1.2010e+03   6.2729e-05   6.4451e-05   4.6414e-06
   1.4010e+03   2.6920e-04   3.1338e-04   2.4360e-04
   1.6010e+03   1.0994e-02   1.2865e-02   1.2785e-02
   1.8010e+03   5.4538e-01   6.7113e-01   6.7104e-01
   2.0010e+03   2.7224e+01   3.5220e+01   3.5220e+01
